ts_utc,event,asset,side,bar_dt,price,entry,risk,stop,net_r,days_held,reason
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2023-11-27 20:00:00,2015.310059,2015.310059,30.229651,1985.080408,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2023-12-04 04:00:00,2063.050049,2015.310059,30.229650884999998,2072.482056473623,1.4592,6,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2023-12-04 12:00:00,2022.660034,2022.660034,59.777101,2082.437135,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2023-12-13 16:00:00,2013.699951,2022.660034,59.77710067546991,2004.0373030632152,0.0687,9,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2023-12-13 20:00:00,2032.949951,2032.949951,34.353107,1998.596844,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-01-01 20:00:00,2063.800049,2032.949951,34.35310731471095,2064.6705295743623,0.6376,19,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-01-02 12:00:00,2059.320068,2059.320068,30.889801,2090.209869,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-01-05 12:00:00,2061.889893,2059.320068,30.88980102,2056.1494714182686,-0.1632,3,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-01-08 04:00:00,2031.51001,2031.51001,30.47265,2061.98266,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-01-12 08:00:00,2045.48999,2031.51001,30.47265015,2043.8368492761767,-0.5521,4,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-01-12 12:00:00,2053.76001,2053.76001,30.8064,2022.95361,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-01-16 16:00:00,2029.430054,2053.76001,30.806400149999998,2034.8403861658526,-0.8831,4,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-01-17 00:00:00,2024.119995,2024.119995,30.3618,2054.481795,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-01-19 08:00:00,2031.689941,2024.119995,30.361799925,2029.6143569327746,-0.316,2,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-01-23 04:00:00,2031.719971,2031.719971,30.4758,2001.244171,,0,donchian_breakout
